校系代碼,序號,准考證號,國文,英文,數學,專一,專二,總分
104001,1,52010162,13,13,14,13,15,68
104001,2,52010022,11,14,14,14,14,67
104001,3,52010357,11,14,14,14,13,66
104001,4,52010194,13,15,13,11,14,66
104001,5,52010246,12,14,13,13,14,66
104001,6,52010435,9,15,14,13,14,65
104001,7,52010186,13,14,13,12,13,65
104001,8,52010387,13,14,14,10,13,64
104001,9,52010294,14,14,11,12,13,64
104001,10,52010082,11,14,13,12,13,63
104001,11,52010042,10,13,12,13,15,63
104001,12,52010174,11,14,12,13,13,63
104001,13,52010126,12,13,14,12,12,63
104001,14,52010122,11,13,14,12,13,63
104001,15,52010330,12,12,14,11,14,63
104001,16,52010333,12,13,13,11,14,63
104001,17,52010086,11,11,12,14,14,62
104001,18,52010318,10,11,15,13,13,62
104001,19,52010360,11,15,11,11,14,62
104001,20,52010002,10,12,13,13,14,62
104001,21,52010138,10,13,15,13,11,62
104001,22,52010411,11,11,12,14,14,62
104001,23,52010378,9,14,13,12,13,61
104001,24,52010214,11,12,11,14,13,61
104001,25,52010302,13,9,14,11,14,61
104001,26,52010354,10,14,13,11,13,61
104001,27,52010034,10,13,10,13,14,60
104001,28,52010471,10,14,11,13,12,60
104001,29,52010342,12,10,12,13,13,60
104001,30,52010242,12,11,14,11,12,60
104001,31,52010321,10,13,12,11,14,60
104001,32,52010046,12,11,11,12,14,60
104001,33,52010372,10,13,13,11,13,60
104001,34,52010150,11,9,12,13,15,60
104001,35,52010375,11,11,13,10,14,59
104001,36,52010402,11,12,11,12,13,59
104001,37,52010453,11,15,11,10,12,59
104001,38,52010405,11,11,10,12,14,58
104001,39,52010462,11,11,12,11,12,57
104001,40,52010190,12,12,11,10,12,57
104001,41,52010094,10,8,11,13,14,56
104001,42,52010438,11,12,10,11,12,56
104001,43,52010118,9,7,15,12,13,56
104001,44,52010381,11,8,13,11,12,55
104001,45,52010444,13,15,11,6,10,55
104001,46,52010058,13,10,13,10,9,55
104001,47,52010050,9,10,11,10,12,52
104001,48,52010182,10,11,10,8,12,51
104001,49,52010074,11,8,11,9,12,51
104001,50,52010298,11,6,11,11,11,50
104001,51,52010270,10,5,10,12,11,48
104001,52,52010110,8,3,3,4,6,24
