校系代碼,序號,准考證號,國文,英文,數學,專一,專二,總分
704001,1,52010198,13,15,15,13,15,71
704001,2,52010246,12,14,13,13,14,66
704001,3,52010294,14,14,11,12,13,64
704001,4,52010387,13,14,14,10,13,64
704001,5,52010174,11,14,12,13,13,63
704001,6,52010082,11,14,13,12,13,63
704001,7,52010126,12,13,14,12,12,63
704001,8,52010042,10,13,12,13,15,63
704001,9,52010330,12,12,14,11,14,63
704001,10,52010122,11,13,14,12,13,63
704001,11,52010333,12,13,13,11,14,63
704001,12,52010002,10,12,13,13,14,62
704001,13,52010411,11,11,12,14,14,62
704001,14,52010086,11,11,12,14,14,62
704001,15,52010318,10,11,15,13,13,62
704001,16,52010138,10,13,15,13,11,62
704001,17,52010378,9,14,13,12,13,61
704001,18,52010302,13,9,14,11,14,61
704001,19,52010214,11,12,11,14,13,61
704001,20,52010150,11,9,12,13,15,60
704001,21,52010210,11,14,10,12,13,60
704001,22,52010046,12,11,11,12,14,60
704001,23,52010342,12,10,12,13,13,60
704001,24,52010321,10,13,12,11,14,60
704001,25,52010471,10,14,11,13,12,60
704001,26,52010034,10,13,10,13,14,60
704001,27,52010372,10,13,13,11,13,60
704001,28,52010402,11,12,11,12,13,59
704001,29,52010375,11,11,13,10,14,59
704001,30,52010405,11,11,10,12,14,58
704001,31,52010456,13,14,8,8,14,57
704001,32,52010190,12,12,11,10,12,57
704001,33,52010118,9,7,15,12,13,56
704001,34,52010438,11,12,10,11,12,56
704001,35,52010094,10,8,11,13,14,56
704001,36,52010026,11,12,11,10,12,56
704001,37,52010381,11,8,13,11,12,55
704001,38,52010058,13,10,13,10,9,55
704001,39,52010444,13,15,11,6,10,55
704001,40,52010050,9,10,11,10,12,52
704001,41,52019903,9,12,7,7,7,42
