校系代碼,序號,准考證號,國文,英文,數學,專一,專二,總分
102001,1,52010387,13,14,14,10,13,64
102001,2,52010174,11,14,12,13,13,63
102001,3,52010360,11,15,11,11,14,62
102001,4,52010170,13,14,12,10,13,62
102001,5,52010354,10,14,13,11,13,61
102001,6,52010302,13,9,14,11,14,61
102001,7,52010378,9,14,13,12,13,61
102001,8,52010242,12,11,14,11,12,60
102001,9,52010210,11,14,10,12,13,60
102001,10,52010321,10,13,12,11,14,60
102001,11,52010372,10,13,13,11,13,60
102001,12,52010453,11,15,11,10,12,59
102001,13,52010375,11,11,13,10,14,59
102001,14,52010402,11,12,11,12,13,59
102001,15,52010258,10,15,10,11,13,59
102001,16,52010130,13,15,8,10,12,58
102001,17,52010405,11,11,10,12,14,58
102001,18,52010399,10,12,10,12,13,57
102001,19,52010351,11,12,9,13,12,57
102001,20,52010462,11,11,12,11,12,57
102001,21,52010456,13,14,8,8,14,57
102001,22,52010026,11,12,11,10,12,56
102001,23,52010118,9,7,15,12,13,56
102001,24,52010381,11,8,13,11,12,55
102001,25,52010098,12,10,11,10,12,55
102001,26,52010090,12,9,14,9,10,54
102001,27,52010050,9,10,11,10,12,52
102001,28,52010298,11,6,11,11,11,50
102001,29,52010270,10,5,10,12,11,48
102001,30,52010363,11,9,8,8,10,46
102001,31,52019903,9,12,7,7,7,42
