校系代碼,序號,准考證號,國文,英文,數學,專一,專二,總分
104015,1,52010022,11,14,14,14,14,67
104015,2,52010246,12,14,13,13,14,66
104015,3,52010435,9,15,14,13,14,65
104015,4,52010186,13,14,13,12,13,65
104015,5,52010294,14,14,11,12,13,64
104015,6,52010387,13,14,14,10,13,64
104015,7,52010174,11,14,12,13,13,63
104015,8,52010330,12,12,14,11,14,63
104015,9,52010122,11,13,14,12,13,63
104015,10,52010138,10,13,15,13,11,62
104015,11,52010086,11,11,12,14,14,62
104015,12,52010354,10,14,13,11,13,61
104015,13,52010378,9,14,13,12,13,61
104015,14,52010372,10,13,13,11,13,60
104015,15,52010210,11,14,10,12,13,60
104015,16,52010471,10,14,11,13,12,60
104015,17,52010402,11,12,11,12,13,59
104015,18,52010351,11,12,9,13,12,57
104015,19,52010270,10,5,10,12,11,48
