校系代碼,序號,准考證號,國文,英文,數學,專一,專二,總分
105011,1,52010138,10,13,15,13,11,62
105011,2,52010034,10,13,10,13,14,60
105011,3,52010150,11,9,12,13,15,60
105011,4,52010046,12,11,11,12,14,60
105011,5,52010258,10,15,10,11,13,59
105011,6,52010453,11,15,11,10,12,59
105011,7,52010130,13,15,8,10,12,58
105011,8,52010462,11,11,12,11,12,57
105011,9,52010351,11,12,9,13,12,57
105011,10,52010399,10,12,10,12,13,57
105011,11,52010118,9,7,15,12,13,56
105011,12,52010438,11,12,10,11,12,56
105011,13,52010381,11,8,13,11,12,55
105011,14,52010058,13,10,13,10,9,55
105011,15,52010098,12,10,11,10,12,55
105011,16,52010050,9,10,11,10,12,52
105011,17,52010074,11,8,11,9,12,51
105011,18,52010298,11,6,11,11,11,50
105011,19,52010327,12,9,7,10,11,49
105011,20,52010270,10,5,10,12,11,48
105011,21,52010366,8,8,7,10,13,46
105011,22,52010363,11,9,8,8,10,46
105011,23,52019903,9,12,7,7,7,42
105011,24,52010110,8,3,3,4,6,24
