校系代碼,序號,准考證號,國文,英文,數學,專一,專二,總分
101008,1,52010198,13,15,15,13,15,71
101008,2,52010014,11,13,15,14,15,68
101008,3,52010146,11,14,15,13,13,66
101008,4,52010194,13,15,13,11,14,66
101008,5,52010246,12,14,13,13,14,66
101008,6,52010357,11,14,14,14,13,66
101008,7,52010414,11,12,14,14,14,65
101008,8,52010186,13,14,13,12,13,65
101008,9,52010274,11,10,14,13,15,63
101008,10,52010086,11,11,12,14,14,62
101008,11,52010214,11,12,11,14,13,61
101008,12,52010342,12,10,12,13,13,60
101008,13,52010471,10,14,11,13,12,60
101008,14,52010190,12,12,11,10,12,57
