校系代碼,序號,准考證號,國文,英文,數學,專一,專二,總分
101003,1,52010198,13,15,15,13,15,71
101003,2,52010314,12,15,15,14,14,70
101003,3,52010290,11,13,15,15,15,69
101003,4,52010142,11,14,14,14,15,68
101003,5,52010006,11,14,14,15,14,68
101003,6,52010102,11,15,14,14,14,68
101003,7,52010014,11,13,15,14,15,68
101003,8,52010162,13,13,14,13,15,68
101003,9,52010114,12,15,14,13,14,68
101003,10,52010022,11,14,14,14,14,67
101003,11,52010166,12,14,14,12,14,66
101003,12,52010194,13,15,13,11,14,66
101003,13,52010246,12,14,13,13,14,66
101003,14,52010429,12,13,13,13,15,66
101003,15,52010357,11,14,14,14,13,66
101003,16,52010435,9,15,14,13,14,65
101003,17,52010186,13,14,13,12,13,65
101003,18,52010426,10,13,15,12,15,65
101003,19,52010234,11,12,15,13,13,64
101003,20,52010054,10,12,15,14,13,64
101003,21,52010330,12,12,14,11,14,63
101003,22,52010274,11,10,14,13,15,63
101003,23,52010086,11,11,12,14,14,62
101003,24,52010354,10,14,13,11,13,61
101003,25,52010378,9,14,13,12,13,61
101003,26,52010214,11,12,11,14,13,61
101003,27,52010190,12,12,11,10,12,57
