校系代碼,序號,准考證號,國文,英文,數學,專一,專二,總分
104018,1,52010194,13,15,13,11,14,66
104018,2,52010333,12,13,13,11,14,63
104018,3,52010411,11,11,12,14,14,62
104018,4,52010170,13,14,12,10,13,62
104018,5,52010078,13,14,13,11,11,62
104018,6,52010214,11,12,11,14,13,61
104018,7,52010342,12,10,12,13,13,60
104018,8,52010258,10,15,10,11,13,59
104018,9,52010405,11,11,10,12,14,58
104018,10,52010351,11,12,9,13,12,57
104018,11,52010399,10,12,10,12,13,57
104018,12,52010456,13,14,8,8,14,57
104018,13,52010190,12,12,11,10,12,57
